dataset,fold_id,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,lof_score,relative_proximity,compactness,pred_margin_weight,step_weight_type,threshold_tau
Yoga,4,1dCNN autoencoder,0.9548299546,1.91E-05,0.0001,0.3061877709,0.92,0.28,0.3650042221,0.5101877934,1,unconstrained,0.5
Yoga,4,LSTM autoencoder,0.9548299546,0.009224085137,0.0001,1.671389072,0.88,0.56,1.992450797,0.1100938967,1,unconstrained,0.5
Yoga,4,No autoencoder,0.9548299546,0,0.0001,0.1227380114,0.82,0.28,0.1463150936,0.8373239437,1,unconstrained,0.5
Yoga,5,1dCNN autoencoder,0.9569070566,1.44E-05,0.0001,0.2918334886,0.82,0.32,0.3125959096,0.5436619718,1,unconstrained,0.5
Yoga,5,LSTM autoencoder,0.9569070566,0.01649225317,0.0001,2.464598882,0.84,0.96,2.639942156,0.0703286385,1,unconstrained,0.5
Yoga,5,No autoencoder,0.9569070566,0,0.0001,0.1154567329,0.86,0.32,0.1236708734,0.8964788732,1,unconstrained,0.5
Yoga,1,1dCNN autoencoder,0.9441398028,1.54E-05,0.0001,0.2788577944,0.92,0.34,0.2778640423,0.6875586854,0.5,local,0.5
Yoga,1,LSTM autoencoder,0.9441398028,0.03218592331,0.0001,3.653949855,0.64,1,3.640928451,0.04145539906,0.5,local,0.5
Yoga,1,No autoencoder,0.9441398028,0,0.0001,0.1379054826,0.8,0.3,0.1374140355,0.8485446009,0.5,local,0.5
Yoga,2,1dCNN autoencoder,0.9360252576,1.85E-05,0.0001,0.3034392175,0.9,0.4,0.3371012691,0.695915493,0.5,local,0.5
Yoga,2,LSTM autoencoder,0.9360252576,0.03304411471,0.0001,3.718694946,0.78,1,4.13122864,0.04704225352,0.5,local,0.5
Yoga,2,No autoencoder,0.9360252576,0,0.0001,0.1553052654,0.8,0.4,0.1725340663,0.8769483568,0.5,local,0.5
Yoga,3,1dCNN autoencoder,0.947103135,1.51E-05,0.0001,0.2898320043,0.94,0.4,0.3117188637,0.72,0.5,local,0.5
Yoga,3,LSTM autoencoder,0.947103135,0.03233033419,0.0001,3.679036845,0.72,1,3.956861796,0.04427230047,0.5,local,0.5
Yoga,3,No autoencoder,0.947103135,0,0.0001,0.1510425174,0.72,0.42,0.1624485951,0.8693896714,0.5,local,0.5
Yoga,4,1dCNN autoencoder,0.9548299546,1.91E-05,0.0001,0.3044290958,0.76,0.32,0.3629077182,0.685915493,0.5,local,0.5
Yoga,4,LSTM autoencoder,0.9548299546,0.009663173929,0.0001,1.513606293,0.92,0.56,1.80435909,0.1358685446,0.5,local,0.5
Yoga,4,No autoencoder,0.9548299546,0,0.0001,0.121328783,0.74,0.3,0.1446351627,0.8937558685,0.5,local,0.5
Yoga,5,1dCNN autoencoder,0.9569070566,1.44E-05,0.0001,0.257048777,0.82,0.34,0.2753364483,0.7308920188,0.5,local,0.5
Yoga,5,LSTM autoencoder,0.9569070566,0.01649225317,0.0001,2.296563179,0.8,0.9,2.459951595,0.08525821596,0.5,local,0.5
Yoga,5,No autoencoder,0.9569070566,0,0.0001,0.1169811263,0.76,0.32,0.1253037194,0.8798122066,0.5,local,0.5
Yoga,1,1dCNN autoencoder,0.9441398028,1.54E-05,0.0001,0.2562003792,0.86,0.32,0.2552873703,0.7270422535,0.5,global,0.5
Yoga,1,LSTM autoencoder,0.9441398028,0.03218592331,0.0001,3.654129063,0.64,1,3.64110702,0.0417370892,0.5,global,0.5
Yoga,1,No autoencoder,0.9441398028,0,0.0001,0.1328497554,0.8,0.3,0.1323763251,0.8662441315,0.5,global,0.5
Yoga,2,1dCNN autoencoder,0.9360252576,1.85E-05,0.0001,0.295246542,0.92,0.42,0.3279997386,0.695399061,0.5,global,0.5
Yoga,2,LSTM autoencoder,0.9360252576,0.03304411471,0.0001,3.718524085,0.8,1,4.131038824,0.04629107981,0.5,global,0.5
Yoga,2,No autoencoder,0.9360252576,0,0.0001,0.1516450416,0.76,0.42,0.1684677953,0.8710328638,0.5,global,0.5
Yoga,3,1dCNN autoencoder,0.947103135,1.51E-05,0.0001,0.2758370232,0.84,0.38,0.2966670422,0.7250704225,0.5,global,0.5
Yoga,3,LSTM autoencoder,0.947103135,0.03233033419,0.0001,3.681077312,0.76,1,3.959056349,0.04417840376,0.5,global,0.5
Yoga,3,No autoencoder,0.947103135,0,0.0001,0.1437567181,0.8,0.4,0.1546126037,0.8661502347,0.5,global,0.5
Yoga,4,1dCNN autoencoder,0.9548299546,1.91E-05,0.0001,0.2756279944,0.76,0.28,0.328574134,0.7252112676,0.5,global,0.5
Yoga,4,LSTM autoencoder,0.9548299546,0.009663173929,0.0001,1.507539572,0.9,0.6,1.797126996,0.1436150235,0.5,global,0.5
Yoga,4,No autoencoder,0.9548299546,0,0.0001,0.1150253491,0.76,0.3,0.1371208848,0.8995774648,0.5,global,0.5
Yoga,5,1dCNN autoencoder,0.9569070566,1.44E-05,0.0001,0.2449809267,0.9,0.36,0.2624100338,0.7420187793,0.5,global,0.5
Yoga,5,LSTM autoencoder,0.9569070566,0.01649225317,0.0001,2.268551187,0.8,0.9,2.429946697,0.08577464789,0.5,global,0.5
Yoga,5,No autoencoder,0.9569070566,0,0.0001,0.1213781536,0.82,0.32,0.1300135721,0.8788732394,0.5,global,0.5
Yoga,1,1dCNN autoencoder,0.9441398028,1.54E-05,0.0001,0.1464523767,0.52,0.3,0.1459304714,0.8995305164,0.5,uniform,0.5
Yoga,1,LSTM autoencoder,0.9441398028,0.03218592331,0.0001,3.653485275,0.62,1,3.640465526,0.0414084507,0.5,uniform,0.5
Yoga,1,No autoencoder,0.9441398028,0,0.0001,0.03413409956,0.42,0.28,0.03401245752,0.9961971831,0.5,uniform,0.5
Yoga,2,1dCNN autoencoder,0.9360252576,1.85E-05,0.0001,0.1459436493,0.5,0.42,0.1621339186,0.8838497653,0.5,uniform,0.5
Yoga,2,LSTM autoencoder,0.9360252576,0.03304411471,0.0001,3.717324874,0.76,1,4.129706578,0.04530516432,0.5,uniform,0.5
Yoga,2,No autoencoder,0.9360252576,0,0.0001,0.03310026714,0.44,0.42,0.03677224768,0.9984976526,0.5,uniform,0.5
Yoga,3,1dCNN autoencoder,0.947103135,1.51E-05,0.0001,0.1566968054,0.48,0.4,0.1685298704,0.90342723,0.5,uniform,0.5
Yoga,3,LSTM autoencoder,0.947103135,0.03233033419,0.0001,3.675188479,0.66,1,3.952722817,0.04389671362,0.5,uniform,0.5
Yoga,3,No autoencoder,0.947103135,0,0.0001,0.02431948768,0.3,0.38,0.0261559902,0.9983568075,0.5,uniform,0.5
Yoga,4,1dCNN autoencoder,0.9548299546,1.91E-05,0.0001,0.1439643471,0.42,0.32,0.1716188546,0.8999530516,0.5,uniform,0.5
Yoga,4,LSTM autoencoder,0.9548299546,0.02912650257,0.0001,3.304626693,0.74,1,3.939421525,0.0523943662,0.5,uniform,0.5
