dataset,fold_id,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,lof_score,relative_proximity,compactness,pred_margin_weight,step_weight_type,threshold_tau
TwoLeadECG,1,LSTM autoencoder,0.9914529914529915,0.004377539269626141,0.0001,0.6073302255869284,1.0,1.0,2.883076016715821,0.20195121951219513,1.0,unconstrained,0.8
TwoLeadECG,1,No autoencoder,0.9914529914529915,0,0.0001,0.1040988104165526,1.0,0.2,0.4941706686680497,0.37390243902439024,1.0,unconstrained,0.8
TwoLeadECG,2,1dCNN autoencoder,0.982905982905983,0.00011862044630106539,0.0001,0.3006642564219315,1.0,0.5,1.199094242070679,0.18536585365853658,1.0,unconstrained,0.8
TwoLeadECG,2,LSTM autoencoder,0.982905982905983,0.005427480675280094,0.0001,0.8549081686780553,1.0,1.0,3.4095022626250207,0.1651219512195122,1.0,unconstrained,0.8
TwoLeadECG,2,No autoencoder,0.982905982905983,0,0.0001,0.10486378428191216,1.0,0.32,0.4182125319137556,0.434390243902439,1.0,unconstrained,0.8
TwoLeadECG,3,1dCNN autoencoder,0.9956896551724138,0.0001453538570785895,0.0001,0.26988652459135754,1.0,0.54,1.1468849675385298,0.2151219512195122,1.0,unconstrained,0.8
TwoLeadECG,3,LSTM autoencoder,0.9956896551724138,0.004375793971121311,0.0001,0.6075802409691962,1.0,1.0,2.5819171446076807,0.1770731707317073,1.0,unconstrained,0.8
TwoLeadECG,3,No autoencoder,0.9956896551724138,0,0.0001,0.09555987435892441,1.0,0.38,0.40608245842604973,0.44609756097560976,1.0,unconstrained,0.8
TwoLeadECG,4,1dCNN autoencoder,1.0,0.00018063616880681366,0.0001,0.2809782646865325,1.0,0.54,1.146188089150277,0.2202439024390244,1.0,unconstrained,0.8
TwoLeadECG,4,LSTM autoencoder,1.0,0.004404156934469938,0.0001,0.6439636228662934,1.0,1.0,2.626905804258049,0.18658536585365854,1.0,unconstrained,0.8
TwoLeadECG,4,No autoencoder,1.0,0,0.0001,0.10409332117908213,1.0,0.36,0.4246254600108107,0.38341463414634147,1.0,unconstrained,0.8
TwoLeadECG,5,1dCNN autoencoder,0.9956896551724138,8.87543719727546e-05,0.0001,0.33460433603575784,1.0,0.74,1.3426148741286663,0.19048780487804878,1.0,unconstrained,0.8
TwoLeadECG,5,LSTM autoencoder,0.9956896551724138,0.0057897125370800495,0.0001,0.7136114993945789,1.0,1.0,2.8633980802150525,0.1651219512195122,1.0,unconstrained,0.8
TwoLeadECG,5,No autoencoder,0.9956896551724138,0,0.0001,0.1123806807385969,1.0,0.26,0.4509325112517991,0.3726829268292683,1.0,unconstrained,0.8
TwoLeadECG,1,1dCNN autoencoder,0.9914529914529915,0.00019447326485533267,0.0001,0.36316732548610553,1.0,0.76,1.7240027946113712,0.15878048780487805,1.0,unconstrained,0.9
TwoLeadECG,1,LSTM autoencoder,0.9914529914529915,0.004377539269626141,0.0001,0.6157971760551032,1.0,1.0,2.923269738024397,0.1975609756097561,1.0,unconstrained,0.9
TwoLeadECG,1,No autoencoder,0.9914529914529915,0,0.0001,0.12238202985972776,1.0,0.24,0.5809635027214339,0.24073170731707316,1.0,unconstrained,0.9
TwoLeadECG,2,1dCNN autoencoder,0.982905982905983,0.00011862044630106539,0.0001,0.31736452764441686,1.0,0.54,1.2656974336246454,0.17268292682926828,1.0,unconstrained,0.9
TwoLeadECG,2,LSTM autoencoder,0.982905982905983,0.005427480675280094,0.0001,0.8588677954838968,1.0,1.0,3.425293849427313,0.16707317073170733,1.0,unconstrained,0.9
TwoLeadECG,2,No autoencoder,0.982905982905983,0,0.0001,0.11710140410573051,1.0,0.3,0.4670179989886248,0.3326829268292683,1.0,unconstrained,0.9
TwoLeadECG,3,1dCNN autoencoder,0.9956896551724138,0.0001453538570785895,0.0001,0.28346124896868496,1.0,0.64,1.2045708684941572,0.20390243902439023,1.0,unconstrained,0.9
TwoLeadECG,3,LSTM autoencoder,0.9956896551724138,0.004375793971121311,0.0001,0.6040161355229953,1.0,1.0,2.5667714497080962,0.18414634146341463,1.0,unconstrained,0.9
TwoLeadECG,3,No autoencoder,0.9956896551724138,0,0.0001,0.10377448563365517,1.0,0.38,0.4409905154304746,0.3197560975609756,1.0,unconstrained,0.9
