dataset,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,margin_mean,margin_std,pred_margin_weight,step_weight_type
ToeSegmentation1,LSTM autoencoder,0.7129120879,0.01488258224,0.001,2.327602235,0.09756097561,-0.2366816,0.19987708,0.5,example-specific
ToeSegmentation1,LSTM autoencoder,0.7129120879,0.01488258224,0.001,2.288734203,0.07317073171,-0.25685054,0.19698817,0.5,global
ToeSegmentation1,No autoencoder,0.7129120879,0,0.001,0.3444463832,1,0.00053336273,0.00027808105,1,
ToeSegmentation1,No autoencoder,0.7129120879,0,0.001,0.1596057608,0.8048780488,-0.07299789,0.17673962,0.5,uniform
ToeSegmentation1,No autoencoder,0.7129120879,0,0.001,0.266215962,0.9512195122,0.00023930175,0.00087947247,0.5,example-specific
ToeSegmentation1,No autoencoder,0.7129120879,0,0.001,0.2551907637,0.9756097561,0.00042492006,0.00044229542,0.5,global
Strawberry,1dCNN autoencoder,0.9810461192,5.52E-05,0.0001,0.3474007312,0.768,0.38,0.3249615,1,
Strawberry,1dCNN autoencoder,0.9810461192,5.52E-05,0.0001,0.2108012854,0.632,-0.0421682,0.38516617,0.5,uniform
Strawberry,1dCNN autoencoder,0.9810461192,5.52E-05,0.0001,0.2595701496,0.688,0.021933358,0.38962477,0.5,example-specific
Strawberry,1dCNN autoencoder,0.9810461192,5.52E-05,0.0001,0.2842842021,0.68,-0.009670165,0.3721228,0.5,global
Strawberry,LSTM autoencoder,0.9810461192,0.002418279881,0.0001,0.7636541717,0,-0.5,0,1,
Strawberry,LSTM autoencoder,0.9810461192,0.002491835272,0.0001,0.7605656633,0,-0.5,0,0.5,uniform
Strawberry,LSTM autoencoder,0.9810461192,0.002418279881,0.0001,0.7561827502,0,-0.5,1.77E-08,0.5,example-specific
Strawberry,LSTM autoencoder,0.9810461192,0.002418585587,0.0001,0.7760337533,0,-0.49610475,0.037345216,0.5,global
Strawberry,No autoencoder,0.9810461192,0,0.0001,0.06102287558,0.992,0.00051868317,0.00051180244,1,
Strawberry,No autoencoder,0.9810461192,0,0.0001,0.02973330662,0.664,-0.16367035,0.23495889,0.5,uniform
Strawberry,No autoencoder,0.9810461192,0,0.0001,0.0639696898,0.952,0.0010828447,0.008221115,0.5,example-specific
Strawberry,No autoencoder,0.9810461192,0,0.0001,0.06185357529,0.968,0.00030510474,0.0015358953,0.5,global
SonyAIBORobotSurface2,1dCNN autoencoder,0.9784022039,0.000660736172,0.0001,0.288768225,0.9669421488,0.00057358266,0.0005801378,1,
SonyAIBORobotSurface2,1dCNN autoencoder,0.9784022039,0.000660736172,0.0001,0.1128596509,0.2314049587,-0.3725199,0.21730982,0.5,uniform
SonyAIBORobotSurface2,1dCNN autoencoder,0.9784022039,0.000660736172,0.0001,0.2530199839,0.5785123967,-0.1583399,0.23268422,0.5,example-specific
SonyAIBORobotSurface2,1dCNN autoencoder,0.9784022039,0.000660736172,0.0001,0.215543521,0.3719008264,-0.2792029,0.24723014,0.5,global
SonyAIBORobotSurface2,LSTM autoencoder,0.9784022039,0.01451488677,0.001,0.9725435608,0.9917355372,0.005207249,0.04544406,1,
