dataset,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,margin_mean,margin_std,pred_margin_weight,step_weight_type
DistalPhalanxOutlineCorrect,No autoencoder,0.7908496732,0,0.0001,0.03318995385,0.921875,-0.03853994,0.13434051,0.5,global
Computers,1dCNN autoencoder,0.66,0.0001512381132,0.0001,0.4388015656,1,0.0004222095,0.00027825113,1,
Computers,1dCNN autoencoder,0.66,0.0001512381132,0.0001,0.3906282551,1,0.0005234539,0.00027289634,0.5,uniform
Computers,1dCNN autoencoder,0.66,0.0001512381132,0.0001,0.4176453036,1,0.00052554725,0.00026714764,0.5,example-specific
Computers,1dCNN autoencoder,0.66,0.0001512381132,0.0001,0.4071171025,1,0.00048396588,0.0002909769,0.5,global
Computers,LSTM autoencoder,0.66,0.002245200798,0.001,1.589496437,0.94,-0.009646678,0.069922216,1,
Computers,LSTM autoencoder,0.66,0.002245200798,0.001,1.482936926,0.46,-0.15158689,0.22718115,0.5,uniform
Computers,LSTM autoencoder,0.66,0.002245200798,0.001,1.540853459,0.64,-0.070822015,0.17276101,0.5,example-specific
Computers,LSTM autoencoder,0.66,0.002245200798,0.001,1.556943608,0.52,-0.048753142,0.15148611,0.5,global
Computers,No autoencoder,0.66,0,0.0001,0.06494249062,1,0.0005511057,0.00029037567,1,
Computers,No autoencoder,0.66,0,0.0001,0.05571410853,1,0.0005463183,0.00027539968,0.5,uniform
Computers,No autoencoder,0.66,0,0.0001,0.06155615898,0.98,0.17238231,0.23547092,0.5,example-specific
Computers,No autoencoder,0.66,0,0.0001,0.0594607108,1,0.00052490353,0.00029634108,0.5,global
Coffee,1dCNN autoencoder,0.5,0.003848372027,0.0001,1.130860901,1,0.00012989838,6.73E-05,1,
Coffee,1dCNN autoencoder,0.5,0.003848372027,0.0001,0.2364725276,0,-0.011776854,0.0014859604,0.5,uniform
Coffee,1dCNN autoencoder,0.5,0.003848372027,0.0001,0.8156961805,0.1666666667,0.00036769608,0.00027881705,0.5,example-specific
Coffee,1dCNN autoencoder,0.5,0.003848372027,0.0001,1.132094952,0.9166666667,9.16E-05,7.90E-05,0.5,global
Coffee,LSTM autoencoder,0.5,0.05674300715,0.0001,3.985073126,1,0.004997561,1.77E-05,1,
Coffee,LSTM autoencoder,0.5,0.05674300715,0.0001,3.993925543,1,0.005137071,2.25E-05,0.5,uniform
Coffee,LSTM autoencoder,0.5,0.05674300715,0.0001,3.988768122,1,0.0050100735,7.28E-05,0.5,example-specific
Coffee,LSTM autoencoder,0.5,0.05674300715,0.0001,3.984148378,1,0.00501059,1.38E-05,0.5,global
Coffee,No autoencoder,0.5,0,0.001,0.2552246648,1,0.00026271245,0.00017455396,1,
Coffee,No autoencoder,0.5,0,0.001,0.005650795778,0,-0.012051349,0.0015359392,0.5,uniform
Coffee,No autoencoder,0.5,0,0.001,0.441743394,1,0.00015517573,0.0001869364,0.5,example-specific
Coffee,No autoencoder,0.5,0,0.001,0.2586905965,1,0.0004261583,0.00027010846,0.5,global
Chinatown,1dCNN autoencoder,1,0.0006095754798,0.0001,0.1454432079,1,0.00044450164,0.0002846532,1,
Chinatown,1dCNN autoencoder,1,0.0006095754798,0.0001,0.09987661628,0.1346153846,-0.027683321,0.014976298,0.5,uniform
Chinatown,1dCNN autoencoder,1,0.0006095754798,0.0001,0.1672949546,0.8653846154,0.0004942876,0.00071295863,0.5,example-specific
Chinatown,1dCNN autoencoder,1,0.0006095754798,0.0001,0.1447985782,0.8653846154,-0.0001028673,0.00307499,0.5,global
Chinatown,LSTM autoencoder,1,0.005399120506,0.0001,0.5684217154,1,0.13831116,0.015947895,1,
Chinatown,LSTM autoencoder,1,0.005399120506,0.0001,0.3486430545,1,0.17188963,0.029338436,0.5,uniform
Chinatown,LSTM autoencoder,1,0.005399120506,0.0001,0.4090981567,1,0.15728071,0.025030935,0.5,example-specific
Chinatown,LSTM autoencoder,1,0.005399120506,0.0001,0.3523787846,1,0.17772555,0.030870559,0.5,global
Chinatown,No autoencoder,1,0,0.001,0.1314187024,1,0.00046847074,0.00027513364,1,
Chinatown,No autoencoder,1,0,0.001,0.07986099764,0.01923076923,-0.028395584,0.009522648,0.5,uniform
Chinatown,No autoencoder,1,0,0.001,0.1361508595,0.9615384615,-0.00022960111,0.0040134117,0.5,example-specific
Chinatown,No autoencoder,1,0,0.001,0.1044146935,0.9807692308,0.00014969018,0.002661259,0.5,global
BirdChicken,1dCNN autoencoder,0.75,0.004361648578,0.0001,1.50709919,1,0.00045134127,0.00040514118,1,
BirdChicken,1dCNN autoencoder,0.75,0.004361648578,0.0001,1.058068453,0.5,-0.0017508194,0.002801402,0.5,uniform
BirdChicken,1dCNN autoencoder,0.75,0.004361648578,0.0001,1.348619197,1,0.0005056262,0.00048250865,0.5,example-specific
BirdChicken,1dCNN autoencoder,0.75,0.004361648578,0.0001,1.226819487,1,0.0004903078,0.00047931154,0.5,global
BirdChicken,LSTM autoencoder,0.75,0.03623896837,0.0001,4.304966934,1,0.008964568,5.70E-05,1,
BirdChicken,LSTM autoencoder,0.75,0.03623896837,0.0001,4.306893215,1,0.009044811,9.16E-05,0.5,uniform
BirdChicken,LSTM autoencoder,0.75,0.03623896837,0.0001,4.323641421,1,0.009274021,7.49E-05,0.5,example-specific
BirdChicken,LSTM autoencoder,0.75,0.03623896837,0.0001,4.305248996,1,0.008965716,5.60E-05,0.5,global
BirdChicken,No autoencoder,0.75,0,0.0001,0.1257641351,1,2.68E-05,1.94E-05,1,
BirdChicken,No autoencoder,0.75,0,0.0001,0.000539002187,0,-0.008681998,0.001708305,0.5,uniform
BirdChicken,No autoencoder,0.75,0,0.0001,0.1512156286,0,7.80E-05,2.64E-05,0.5,example-specific
BirdChicken,No autoencoder,0.75,0,0.0001,0.1603972722,0,-0.0021575466,0.0013042374,0.5,global
BeetleFly,1dCNN autoencoder,0.75,0.006519492716,0.0001,1.928065029,1,0.000505656,0.000425905,1,
BeetleFly,1dCNN autoencoder,0.75,0.006519492716,0.0001,1.159024039,0.5,-0.002797529,0.010786459,0.5,uniform
BeetleFly,1dCNN autoencoder,0.75,0.006519492716,0.0001,1.558461252,0.5,0.00048938394,0.0004837811,0.5,example-specific
BeetleFly,1dCNN autoencoder,0.75,0.006519492716,0.0001,1.543045954,0.5,0.0004387647,0.0009135455,0.5,global
BeetleFly,LSTM autoencoder,0.75,0.04118303582,0.0001,4.592772275,1,0.013409317,1.42E-05,1,
BeetleFly,LSTM autoencoder,0.75,0.04118303582,0.0001,4.593037416,1,0.013422459,3.31E-06,0.5,uniform
BeetleFly,LSTM autoencoder,0.75,0.04118303582,0.0001,4.593748795,1,0.013413131,1.25E-05,0.5,example-specific
BeetleFly,LSTM autoencoder,0.75,0.04118303582,0.0001,4.593388869,1,0.013429433,3.07E-06,0.5,global
BeetleFly,No autoencoder,0.75,0,0.0001,0.1108306252,0.5,0.00042632222,0.00016447902,1,
BeetleFly,No autoencoder,0.75,0,0.0001,0.0004237621059,0,-0.012494639,0.010669962,0.5,uniform
BeetleFly,No autoencoder,0.75,0,0.0001,0.1029327188,0.5,-0.009279847,0.0092840195,0.5,example-specific
BeetleFly,No autoencoder,0.75,0,0.0001,0.1051671352,0.5,-0.0090819895,0.009086162,0.5,global
